variavel,curto_mean,longo_mean,dimensao,curto_coluna,longo_coluna
Gerenciamento inadequado dos resíduos sólidos.,2.52,2.72,Ambiental,2.13 Gerenciamento inadequado dos resíduos sólidos. [Curto prazo (2026 a 2027)],2.13 Gerenciamento inadequado dos resíduos sólidos. [Longo prazo (até 2035)]
Impactos geopolíticos.,2.952,3.2,Social,4.4 Impactos geopolíticos.  [Curto prazo (2026 a 2027)],4.4 Impactos geopolíticos.   [Longo prazo (até 2035)]
Instabilidade gerada por alterações no marco regulatório e excesso de judicialização.,3.056,3.136,Social,4.9 Instabilidade gerada por alterações no marco regulatório e excesso de judicialização. [Curto prazo (2026 a 2027)],4.9 Instabilidade gerada por alterações no marco regulatório e excesso de judicialização. [Longo prazo (até 2035)]
Instabilidade política.,3.744,3.624,Economica,1.15 Instabilidade política. [Curto prazo (2026 a 2027)],1.15 Instabilidade política. [Longo prazo (até 2035)]
Insuficiência de serviços públicos essenciais que impacta a força de trabalho vinculada ao setor portuário.,2.928,3.128,Social,4.3 Insuficiência de serviços públicos essenciais que impacta a força de trabalho vinculada ao setor portuário.  [Curto prazo (2026 a 2027)],4.3 Insuficiência de serviços públicos essenciais que impacta a força de trabalho vinculada ao setor portuário.  [Longo prazo (até 2035)]
"Introdução de espécies exóticas, organismos aquáticos nocivos e agentes patogênicos.",2.672,2.952,Ambiental,"2.10 Introdução de espécies exóticas, organismos aquáticos nocivos e agentes patogênicos. [Curto prazo (2026 a 2027)]","2.10 Introdução de espécies exóticas, organismos aquáticos nocivos e agentes patogênicos. [Longo prazo (até 2035)]"
"Liberação intencional ou acidental de contaminante biológico, químico, nuclear ou radiológico.",2.36,2.64,Geopolitica,"3.1 Liberação intencional ou acidental de contaminante biológico, químico, nuclear ou radiológico. [Curto prazo (2026 a 2027)]","3.1 Liberação intencional ou acidental de contaminante biológico, químico, nuclear ou radiológico. [Longo prazo (até 2035)]"
Licenciamento ambiental.,2.824,3.072,Ambiental,2.15 Licenciamento ambiental. [Curto prazo (2026 a 2027)],2.15 Licenciamento ambiental. [Longo prazo (até 2035)]
"Maior uso de tecnologias (IA, mecanização, robotização).",2.92,3.224,Social,"4.14 Maior uso de tecnologias (IA, mecanização, robotização). [Curto prazo (2026 a 2027)]","4.14 Maior uso de tecnologias (IA, mecanização, robotização). [Longo prazo (até 2035)]"
Migração ou deslocamento forçado,2.696,2.896,Geopolitica,3.7 Migração ou deslocamento forçado [Curto prazo (2026 a 2027)],3.7 Migração ou deslocamento forçado [Longo prazo (até 2035)]
Movimentação de produtos perigosos.,2.624,2.864,Ambiental,2.8 Movimentação de produtos perigosos.  [Curto prazo (2026 a 2027)],2.8 Movimentação de produtos perigosos.  [Longo prazo (até 2035)]
Mudanças climáticas (intensificação e aumento da frequência de fenômenos relacionados,3.008,3.432,Ambiental,2.3 Mudanças climáticas (intensificação e aumento da frequência de fenômenos relacionados [Curto prazo (2026 a 2027)],2.3 Mudanças climáticas (intensificação e aumento da frequência de fenômenos relacionados [Longo prazo (até 2035)]
Ocorrência de pandemias ou epidemias de doenças de rápida disseminação.,2.816,3.12,Social,4.2 Ocorrência de pandemias ou epidemias de doenças de rápida disseminação.  [Curto prazo (2026 a 2027)],4.2 Ocorrência de pandemias ou epidemias de doenças de rápida disseminação.  [Longo prazo (até 2035)]
Perda de biodiversidade e colapso de ecossistemas.,2.6,3.112,Ambiental,2.1 Perda de biodiversidade e colapso de ecossistemas. [Curto prazo (2026 a 2027)],2.1 Perda de biodiversidade e colapso de ecossistemas. [Longo prazo (até 2035)]
"Poluição atmosférica,",2.72,2.992,Ambiental,"2.11 Poluição atmosférica, [Curto prazo (2026 a 2027)]","2.11 Poluição atmosférica, [Longo prazo (até 2035)]"
"Poluição da água e sedimentos em áreas portuárias por contaminantes orgânicos e inorgânicos, tais como hidrocarbonetos, metais, pesticidas e nutrientes.",2.72,3.024,Ambiental,"2.7 Poluição da água e sedimentos em áreas portuárias por contaminantes orgânicos e inorgânicos, tais como hidrocarbonetos, metais, pesticidas e nutrientes. [Curto prazo (2026 a 2027)]","2.7 Poluição da água e sedimentos em áreas portuárias por contaminantes orgânicos e inorgânicos, tais como hidrocarbonetos, metais, pesticidas e nutrientes. [Longo prazo (até 2035)]"
Presença de agentes patogênicos. Deficiência no tratamento de esgoto ou saneamento.,2.6,2.704,Ambiental,2.9 Presença de agentes patogênicos. Deficiência no tratamento de esgoto ou saneamento. [Curto prazo (2026 a 2027)],2.9 Presença de agentes patogênicos. Deficiência no tratamento de esgoto ou saneamento. [Longo prazo (até 2035)]
Privacidade e conformidade legal,2.856,2.952,Tecnologica,5.13 Privacidade e conformidade legal [Curto prazo (2026 a 2027)],5.13 Privacidade e conformidade legal [Longo prazo (até 2035)]
Problemas de integração de segurança,2.968,3.168,Tecnologica,5.12 Problemas de integração de segurança [Curto prazo (2026 a 2027)],5.12 Problemas de integração de segurança [Longo prazo (até 2035)]
Práticas de censura e vigilância adversa,2.496,2.736,Tecnologica,5.3 Práticas de censura e vigilância adversa [Curto prazo (2026 a 2027)],5.3 Práticas de censura e vigilância adversa [Longo prazo (até 2035)]
Risco de competitividade portuária,3.192,3.424,Economica,1.13 Risco de competitividade portuária [Curto prazo (2026 a 2027)],1.13 Risco de competitividade portuária [Longo prazo (até 2035)]
Riscos associados à automação portuária,2.84,3.12,Tecnologica,5.11 Riscos associados à automação portuária [Curto prazo (2026 a 2027)],5.11 Riscos associados à automação portuária [Longo prazo (até 2035)]
Riscos associados à introdução de navios autônomos,2.616,3.0,Tecnologica,5.9 Riscos associados à introdução de navios autônomos [Curto prazo (2026 a 2027)],5.9 Riscos associados à introdução de navios autônomos [Longo prazo (até 2035)]
Riscos associados às tecnologias espaciais,2.704,2.968,Tecnologica,5.10 Riscos associados às tecnologias espaciais [Curto prazo (2026 a 2027)],5.10 Riscos associados às tecnologias espaciais [Longo prazo (até 2035)]
Riscos reputacionais,2.848,2.856,Economica,1.12 Riscos reputacionais [Curto prazo (2026 a 2027)],1.12 Riscos reputacionais [Longo prazo (até 2035)]
Ruídos e vibrações.,2.424,2.624,Ambiental,2.12 Ruídos e vibrações. [Curto prazo (2026 a 2027)],2.12 Ruídos e vibrações. [Longo prazo (até 2035)]
Terrorismo.,2.768,3.008,Geopolitica,3.6 Terrorismo. [Curto prazo (2026 a 2027)],3.6 Terrorismo. [Longo prazo (até 2035)]
"Violência aberta em países de relação (greves, conflitos internos, golpes de Estado, insegurança pública).",2.904,3.072,Geopolitica,"3.5 Violência aberta em países de relação (greves, conflitos internos, golpes de Estado, insegurança pública). [Curto prazo (2026 a 2027)]","3.5 Violência aberta em países de relação (greves, conflitos internos, golpes de Estado, insegurança pública). [Longo prazo (até 2035)]"
Vulnerabilidades dos sistemas de comunicação e dispositivos de Internet das Coisas,3.024,3.2,Tecnologica,5.6 Vulnerabilidades dos sistemas de comunicação e dispositivos de Internet das Coisas [Curto prazo (2026 a 2027)],5.6 Vulnerabilidades dos sistemas de comunicação e dispositivos de Internet das Coisas [Longo prazo (até 2035)]
